"Model","Train_dataset","Test_dataset","BaseMetric","ProposedMetric","Baseline_mean","Proposed_mean","Difference","Improvement","N_pairs","W_min_scipy","W_plus","W_minus","W_signed","p_value","p_value_two_sided","significant_0.05","effect_size_r"
"catboost","pc4","pc1","Precision_mean","Precision","0.194","0.188729","-0.005270999999999998","-0.005270999999999998","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc4","pc2","Precision_mean","Precision","0.03200000000000001","0.05318179999999999","0.02118179999999998","0.02118179999999998","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc4","pc3","Precision_mean","Precision","0.24","0.194829","-0.04517099999999999","-0.04517099999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","MEAN","MEAN","Recall_mean","Recall","0.185167","0.143043","-0.042123999999999995","-0.042123999999999995","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc1","pc2","Recall_mean","Recall","0.183","0.113044","-0.06995599999999999","-0.06995599999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc1","pc3","Recall_mean","Recall","0.269","0.33000000000000007","0.061000000000000054","0.061000000000000054","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc1","pc4","Recall_mean","Recall","0.197","0.2","0.0030000000000000027","0.0030000000000000027","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc2","pc1","Recall_mean","Recall","0.093","0.05714280000000001","-0.03585719999999999","-0.03585719999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc2","pc3","Recall_mean","Recall","0.05","0.0","-0.05","-0.05","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc2","pc4","Recall_mean","Recall","0.024","0.001124","-0.022876","-0.022876","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc3","pc1","Recall_mean","Recall","0.255","0.32987","0.07486999999999999","0.07486999999999999","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc3","pc2","Recall_mean","Recall","0.139","0.07826079999999999","-0.06073920000000002","-0.06073920000000002","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc3","pc4","Recall_mean","Recall","0.096","0.079776","-0.016224000000000002","-0.016224000000000002","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc4","pc1","Recall_mean","Recall","0.197","0.171428","-0.02557200000000001","-0.02557200000000001","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc4","pc2","Recall_mean","Recall","0.583","0.26087","-0.32212999999999997","-0.32212999999999997","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc4","pc3","Recall_mean","Recall","0.13599999999999998","0.095","-0.04099999999999998","-0.04099999999999998","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","MEAN","MEAN","Generalizability_mean","GLR","0.876667","0.1147366","-0.7619304","-0.7619304","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
